fonctionobjectif= 3
pourcentage= 0.5
decroissance= 0.02
nbiterstagnant= 150
nbiterameliore= 5
f1= 20
f2= 6.048000000000006
f3= 1.4620533505997653
temps= 0.0883524s
nbiterameliore= 10
f1= 30
f2= 6.848000000000006
f3= 1.6666133324799728
temps= 0.1667735s
nbiterameliore= 15
f1= 50
f2= 6.976000000000008
f3= 1.9332873557751313
temps= 0.0598644s
nbiterameliore= 20
f1= 40
f2= 9.664000000000001
f3= 2.2399999999999998
temps= 0.1332503s
nbiterameliore= 25
f1= 50
f2= 11.136
f3= 2.633932421304692
temps= 0.0683965s
