fonctionobjectif= 3
pourcentage= 0.5
decroissance= 0.02
nbiterstagnant= 150
nbiterameliore= 5
f1= 2370
f2= 527.1193415637858
f3= 42.67016470008867
temps= 22.0693639s
nbiterameliore= 10
f1= 2590
f2= 526.6923868312756
f3= 42.85676513308734
temps= 19.3835284s
nbiterameliore= 15
f1= 2590
f2= 528.5159465020574
f3= 43.047137601353555
temps= 6.3949045s
nbiterameliore= 20
f1= 2510
f2= 528.8863168724279
f3= 42.86841631549109
temps= 9.3719122s
nbiterameliore= 25
f1= 2540
f2= 526.8775720164607
f3= 42.874965589788644
temps= 17.819558s
