fonctionobjectif= 3
pourcentage= 0.5
decroissance= 0.02
nbiterstagnant= 150
nbiterameliore= 5
f1= 1010
f2= 332.4640774677217
f3= 26.821793743176958
temps= 12.2976189s
nbiterameliore= 10
f1= 1060
f2= 345.36651395251977
f3= 27.620189783167124
temps= 11.5356128s
nbiterameliore= 15
f1= 1050
f2= 343.01280716368177
f3= 27.516418904249626
temps= 10.6562162s
nbiterameliore= 20
f1= 810
f2= 244.0628904623074
f3= 20.68548913895064
temps= 11.9101655s
nbiterameliore= 25
f1= 1100
f2= 357.04446064139927
f3= 28.400821503678827
temps= 10.0705926s
