fonctionobjectif= 3
pourcentage= 0.5
decroissance= 0.02
nbiterstagnant= 150
nbiterameliore= 5
f1= 40
f2= 4.947970863683674
f3= 0.5032121319415311
temps= 4.5153617s
nbiterameliore= 10
f1= 60
f2= 6.266909469302813
f3= 0.6887280153134282
temps= 3.7145954s
nbiterameliore= 15
f1= 60
f2= 6.612903225806452
f3= 0.7432294286100891
temps= 3.4694947s
nbiterameliore= 20
f1= 60
f2= 6.147242455775236
f3= 0.71649712582454
temps= 3.0388545s
nbiterameliore= 25
f1= 60
f2= 6.7143600416233085
f3= 0.7774439657418513
temps= 3.1787452s
